alphadecode,alpha,common commensal,BS1Pathogen,urine pathogen
A Gram positive coccus (final ID).,T1107,#N/A,pathogen,#N/A
A Gram positive rod,T2271,#N/A,pathogen,#N/A
Achromobacter xylosoxidans,T4480,#N/A,pathogen,pathogen
Acinetobacter lwoffi,T4491,#N/A,pathogen,#N/A
Actinobaculum schaalii,T2294,#N/A,pathogen,#N/A
Actinomyces neuii,ZZAYNE,#N/A,pathogen,#N/A
Actinomyces odontolyticus,T8804,#N/A,pathogen,pathogen
Actinomyces species,T8802,#N/A,pathogen,#N/A
Aerococcus urinae,T2210,common commensal,common commensal,pathogen
Aerococcus viridans,T2208,common commensal,common commensal,pathogen
Aeromonas hydrophila,T4496,#N/A,pathogen,pathogen
Alistipes species,T5047,#N/A,pathogen,#N/A
Alpha-haemolytic Streptococcus,T2214,#N/A,pathogen,#N/A
Anaerobic Gram negative rod,T4478,#N/A,pathogen,#N/A
Anaerobic Gram positive rod,T3359,#N/A,pathogen,#N/A
Anaerobic organisms,T4439,#N/A,pathogen,#N/A
Atopobium species,M7107,#N/A,pathogen,#N/A
Bacillus cereus,T2283,common commensal,common commensal,pathogen
Bacillus pumilus,T2287,common commensal,common commensal,pathogen
Bacillus species,T2280,#N/A,common commensal,#N/A
Bacteroides fragilis,T5512,#N/A,pathogen,pathogen
Bacteroides fragilis group,T5027,#N/A,pathogen,#N/A
Bacteroides species,T5519,#N/A,pathogen,#N/A
Brachybacterium species,M6180,#N/A,pathogen,#N/A
Brevibacterium casei,T2292,#N/A,pathogen,pathogen
Brevundimonas species,T7778,#N/A,pathogen,#N/A
Brevundimonas vesicularis,T5563,#N/A,pathogen,pathogen
Campylobacter jejuni,T5533,#N/A,pathogen,#N/A
Candida albicans,T8832,#N/A,pathogen,#N/A
Candida dubliniensis,T8918,#N/A,pathogen,#N/A
Capnocytophaga species,T2296,#N/A,pathogen,#N/A
Citrobacter koseri group,T5544,#N/A,pathogen,#N/A
Clostridium clostridioforme,T3303,#N/A,pathogen,pathogen
Clostridium perfringens,T3312,#N/A,pathogen,pathogen
Clostridium species,T3300,#N/A,pathogen,#N/A
